Solution,Memory (MB),Rank
BuildHalvesSolution,2.82389,1
FastBuildHalvesSolution,2.82399,2
CharArraySolution,2.83036,3
StringSolution,2.83091,4
IntArraySolution,2.83225,5
VectorSolution,2.83242,6
